Frequency [GHz],Flux [Jy]
1.0,1118.9392312025805
18.7,1118.9392312025805
21.6,840.1200141259575
24.5,659.3598191180173
27.3,539.0466463088762
30.0,454.75288313518087
35.9,334.5811290051253
41.7,256.73560825529364
44.0,231.2860535243519
47.4,198.3200191699082
63.9,98.22028598057739
67.8,85.48975589809163
70.0,79.39740192458936
73.7,70.60337245304362
79.6,59.457063222432055
90.2,45.44587802855091
100.0,36.797508792544825
111.0,30.059948116158353
129.0,22.939004481815772
143.0,19.31347583086452
153.0,17.36745362421729
164.0,15.65938653206007
189.0,12.867762218343415
210.0,11.14019819875719
217.0,10.651880661367159
232.0,9.72036391999957
256.0,8.49628275048866
275.0,7.703020179961499
294.0,7.030700689239765
306.0,6.655549486656838
314.0,6.424601486946642
340.0,5.762324181473161
353.0,5.474301625656665
375.0,5.039875259657876
409.0,4.475574643831067
467.0,3.733060162686023
525.0,3.18043632789292
545.0,3.0218855631366353
584.0,2.749298695998455
643.0,2.4101300904203313
729.0,2.029747963762855
817.0,1.7366656751022163
857.0,1.6268333689665617
906.0,1.5076589868896235
